,path,reward,len
1,[30  3  2  4  7  8  9  100],0,9
2,[30  3  2  4  7  8  100],0,8
3,[30  3  2  4  7  9  100],0,8
4,[30  3  2  4  7  100],0,7
1,[30  3  100],-1,4
1,[30  3  2  100],-1,5
1,[30  3  2  4  100],1,6
